SwgVyP,https://docs.google.com/presentation/d/e/2PACX-1vTDejJByJILKpdcrG8GFSs0snS_Q6XGzOJ_7Xfds9wE1G44F2d-9NCOdgl6naW0G1OhLChup7UWkmqI/pub?start=false&loop=false&delayms=3000,2018-02-01T09:09:02.459+00:00
Jh5RAL,https://godbolt.org/#z:OYLghAFBqd5TB8IAsQGMD2ATApgUWwEsAXTAJwBoiQIArEARkoBsBDAO1HQFIAmAEL8BlAM6YAruXS4QAciIcSAalEBHCW3K4IilRwkBbAJTKeAdiEAGAILL7y7SSkdlBw8oBUbozwDM1jYWACJyxqzyAKxylBzyVjGY8gDCwsKqktK4Znx%2BjDEk8WHhANYgkVYRcgAsMYYguQB0AGx%2BbQAcjFbmkZHtfLl8sUWUSXIxoiCVhXIJ4XCwaFh4hKQU1LQMQ%2BxcIOQSoiRimTLyAA4SAEbKAGau6praEO4gykR%2BfKYAtP74bx9mSw8Wz2dxeHyGYFBczBKFhKrRYazRLyABKBxU4ikMhyHwKRWM4RQuDYeHItHCLHktUo9SajHM7QAnNUmX4mXxOhzIkiEqN5BMppQZnNKAsoEscARiGQqDR6CA/KxOKBgJhjtjZHIzmx0CU2MBsoY2IooVCbhIOOhlABlDRaHQADzeSlMekBgXsThcymd3kdZphcMpURicWR/LkAHFMBlNbi/PjkYTKMTSbhyRAQzU6g0%2BI1GKy%2BnwrL1mowGe1eSjxmIhSL4eLUBgpatZRsFdVlbsAPp97AarLyd0PB26JQQ0wWT2OXDOciuMHedz%2BQIhYMIsMjMbBONZXE0hsptNkilVGn1PKNKx%2BdpWdrmao9JntZrmPw88N8saC6YE0rlJUVJyIm1aRkmopNogzZYIYZxECwGYdrB8GIeSwDmEMNwISQGaTBAlwjJcihaAAnvI%2BSULBhi4EoADyHAsOREZ4MaXCISMxDaOgJBEAAbrgkwRrgjq4OgEi4RRMR6LgwF8iQ5BEPUybdtwaSCKwRCXJMkDhJgZy8ZgHBCV8dGgViQ6MNmiJfjWjqvl8zTVMowDoNa5iNHwygQG2FC4swyjJJgcEIRm/mmKkgjCBBxSUGUFTnrmTTNM0kQpXwTmMHkVicl2tngXWf4qU2kohWhyHBahGZ7IwuSVNhLC4eQ%2BGERGxEcGRUlUcFNH0YxzF8qxKocSxRDcbxAlCXyIliRJWqUTJckFIpymijsoD7IcmnafAekGUQRkmXREwnLInybmBYybSQ1qMJ5fjXt5vnkLiQyBZVoUvfwHymOihwxceJKnlmiW0g0D05XwjDtJE1RWGy5hZXl24CoVwoEmK0GlVVcq0Chn0gK56Bqph9U4XhtCtXy7WdXIlHUbRJAMUxnG4GxwAjYNY1iRNgkjDN4mSXT0lKLJIwKUpGPrYT6osFpOkg/phnGfIpnmadirWVuEZjPZzQuW5arKB5%2BZWE9Mp%2Bd9SrvWVYVW6YMYA0SQPVSDwEXnmnlZeyKXVL0rIfMjOuo5MRWQVjLa27jED42hIAsNg6AMmTjUUwRREkeQzH0z1jPMwNMRDexWpc%2BN/F88JomC/NIu4UtworVLKogH2PYDnLO26aM%2B2HarZknZqIDVFrl3yAnt2NB5Zs%2BRbX25F2Ns4wepihOjybO%2BmmbZh7V7ww%2BvR%2BDe5jNEypaj7Wodr3MAEJcBoH5T%2BV%2BxcBfC5phjRMhy0OMCyj6lu0SoH6oyPJjZAaBiA3BuB2FgKBJjMHILAhoI8gFyGCEQSBvoHJOQNu5Tyyg%2BKiEcBiCeTR5L/lTC7LeoM6RT26J0O8kQ%2BCRBZIwZoVYUG/ifimO%2B2tvzAPIQJZqB04jVCAA%3D,2018-01-17T19:03:12.045+00:00
vKky2a,https://docs.google.com/presentation/d/e/2PACX-1vQ8JCE_4mc6DI0CQdie0_fGWNelSoyL_88WXz9eTxE6DbNCiH_XxgffnbI-3aoNqhwoNcRY4bX_J8_F/pub?start=false&loop=false&delayms=3000,2017-10-09T13:55:24.917+00:00
97emhC,https://docs.google.com/presentation/d/1a8iH3c0_ZYO2c_QUsrkxAm4sfCBxCkLK6WArJCMImM4/pub?start=false&loop=false&delayms=3000,2017-08-19T01:58:13.234+00:00
upva7s,https://www.quora.com/What-are-the-top-10-things-that-really-are-worth-your-time-I%E2%80%99m-still-young-25-and-I-don%E2%80%99t-have-big-responsibilities-besides-my-job-I-want-to-experiment-and-take-big-risks-without-wasting-time/answer/Lukas-Schwekendiek?share=174262a2,2017-08-12T01:12:38.097+00:00
Ypj6dX,https://docs.google.com/presentation/d/1iYMofQxmAtLX75s1UjF026jooKavJSg1APGQdLeEfCs/pub?start=false&loop=false&delayms=3000,2017-07-28T12:43:38.376+00:00
cgWfsQ,https://docs.google.com/presentation/d/e/2PACX-1vSMjXATnsWil6AAenlveEsrTktSIpq93eay_l7fNYyYlEZIBlPC6yt6SpTv6MmDMdm4kyf-MdPTPM0z/pub?start=false&loop=false&delayms=3000,2017-07-22T02:46:26.351+00:00
szcBWv,https://docs.google.com/presentation/d/1XcmYIgLF8spl4eoGyhExfXHtAY_dfKgAbkrntNE94RE/pub?start=false&loop=false&delayms=3000,2017-07-01T21:23:07.858+00:00
1225zU,https://docs.google.com/presentation/d/1BTc7rYbn_vGgxF8zijaKsntFaGsST_ZjqvwNQwP5Ltk/pub?start=false&loop=false&delayms=3000,2017-06-15T03:10:09.199+00:00
JBk1eg,https://docs.google.com/presentation/d/1M7oJlHrT_CTvLSbLiOZMTRyoT5Z9-_1bsquAM0D4YWE/pub?start=false&loop=false&delayms=3000,2017-06-12T23:51:02.671+00:00
